user_id,watch_time_hours,avg_session_mins,top_genres,total_sessions,weekend_ratio,completion_rate
USR-1146,11.98,38.93,Comedy,20,0.5,0.43
USR-1147,10.57,36.63,Comedy,16,0.32,0.64
USR-1148,9.51,33.54,Family,23,0.35,0.68
USR-1149,13.72,28.81,"Family,Animation",14,0.4,0.95
USR-1150,8.28,24.06,Animation,24,0.38,0.34
USR-1151,12.7,43.56,"Comedy,Family",21,0.39,0.84
USR-1152,10.82,41.84,Comedy,15,0.25,0.78
USR-1153,12.45,35.31,"Animation,Family",8,0.33,0.82
USR-1154,7.71,30.54,Family,21,0.51,0.6
USR-1155,12.02,35.8,"Animation,Family",26,0.1,0.73
USR-1156,9.73,47.47,"Family,Animation",25,0.33,0.58
USR-1157,6.52,44.08,"Comedy,Animation",16,0.4,0.62
USR-1158,8.44,53.31,"Animation,Comedy",15,0.43,0.72
USR-1159,8.64,39.06,"Family,Animation",17,0.26,0.88
USR-1160,13.13,34.45,"Family,Animation",18,0.52,0.66
USR-1161,6.34,28.25,"Comedy,Animation",22,0.47,0.58
USR-1162,9.17,37.93,Comedy,14,0.6,0.86
USR-1163,5.9,42.03,"Comedy,Family",15,0.53,0.67
USR-1164,13.35,34.61,Animation,24,0.37,0.47
USR-1165,12.45,46.97,"Animation,Family",16,0.45,0.73
USR-1166,8.78,35.83,"Comedy,Family",28,0.24,0.83
USR-1167,9.03,55.0,"Family,Comedy",15,0.43,0.81
USR-1168,10.17,42.53,"Family,Animation",22,0.5,0.77
USR-1169,19.81,38.43,Family,17,0.36,0.88
USR-1170,15.42,40.2,Comedy,23,0.58,0.86
USR-1171,8.62,38.77,"Family,Comedy",11,0.57,0.26
USR-1172,11.64,35.25,"Animation,Family",14,0.59,0.92
USR-1173,8.44,37.93,Animation,11,0.54,0.58
USR-1174,11.54,35.67,Family,20,0.17,0.55
USR-1175,16.35,31.87,Animation,21,0.23,0.52
USR-1176,12.06,41.93,Animation,24,0.34,0.92
USR-1177,11.02,43.63,Family,17,0.4,0.76
USR-1178,10.66,41.13,Animation,17,0.61,0.77
USR-1179,9.06,18.81,Comedy,18,0.45,0.63
USR-1180,13.76,21.29,"Comedy,Family",32,0.31,0.73
USR-1181,12.3,30.33,Family,17,0.4,0.75
USR-1182,8.95,38.61,Family,20,0.42,0.76
USR-1183,13.02,48.71,"Comedy,Family",9,0.51,0.6
USR-1184,11.12,31.77,"Family,Animation",16,0.54,0.47
USR-1185,12.29,40.91,Animation,16,0.51,0.8
USR-1186,6.5,43.76,"Animation,Comedy",10,0.29,0.88
USR-1187,5.84,33.88,Comedy,18,0.37,0.72
USR-1188,7.35,36.02,Comedy,26,0.1,0.99
USR-1189,6.33,24.48,Comedy,5,0.34,0.89
USR-1190,11.48,37.26,Animation,27,0.37,0.71
USR-1191,9.93,39.87,"Family,Comedy",20,0.68,0.73
USR-1192,11.12,53.19,"Comedy,Family",22,0.44,0.64
USR-1193,10.77,45.2,Comedy,18,0.24,0.56
USR-1194,11.46,24.85,"Family,Comedy",20,0.34,0.82
USR-1195,7.49,36.48,Comedy,18,0.4,0.54
USR-1196,8.51,26.18,Comedy,26,0.44,0.88
USR-1197,7.93,28.59,"Comedy,Animation",27,0.3,0.69
USR-1198,8.15,51.56,Animation,11,0.39,0.81
USR-1199,6.56,37.01,Animation,22,0.67,0.57
USR-1200,6.39,35.38,"Animation,Comedy",30,0.3,0.9
USR-1201,15.53,32.12,Animation,23,0.34,0.4
USR-1202,13.64,37.18,"Animation,Family",19,0.2,0.89
USR-1203,6.19,27.44,Animation,20,0.52,0.68
USR-1204,8.69,40.42,Comedy,10,0.26,0.46
USR-1205,12.58,49.63,"Comedy,Animation",22,0.18,0.85
USR-1206,12.58,33.71,"Animation,Family",12,0.31,0.84
USR-1207,13.77,40.26,"Family,Comedy",14,0.49,0.55
USR-1208,11.32,41.69,"Animation,Family",14,0.46,0.74
USR-1209,7.29,29.77,"Animation,Family",11,0.31,0.85
USR-1210,10.62,37.35,"Comedy,Animation",17,0.4,0.78
USR-1211,10.75,35.31,Comedy,26,0.43,0.6
USR-1212,9.15,32.18,Family,22,0.28,0.85
USR-1213,10.65,37.19,Family,8,0.37,0.5
USR-1214,11.41,38.01,"Animation,Family",17,0.33,0.62
USR-1215,10.67,39.71,"Animation,Family",4,0.44,0.69
USR-1216,8.12,39.78,"Animation,Comedy",11,0.54,0.35
USR-1217,8.81,31.79,"Comedy,Animation",18,0.36,0.56
USR-1218,9.59,33.28,"Comedy,Animation",18,0.45,0.83
USR-1219,13.35,25.61,"Family,Comedy",22,0.48,0.91
USR-1220,7.32,38.66,"Family,Comedy",7,0.51,0.76
USR-1221,10.41,34.78,Family,19,0.56,0.5
USR-1222,12.24,25.27,"Family,Comedy",23,0.4,0.74
USR-1223,10.86,29.19,Family,14,0.35,0.76
USR-1224,6.79,39.1,Comedy,24,0.43,0.68
USR-1225,13.93,28.15,"Animation,Family",17,0.51,0.86
USR-1226,14.14,37.94,Family,21,0.52,0.63
USR-1227,8.69,35.47,"Animation,Family",16,0.42,0.45
USR-1228,7.59,44.4,Comedy,14,0.27,0.38
USR-1229,14.27,37.32,"Comedy,Family",18,0.3,0.68
USR-1230,11.24,29.97,Animation,13,0.33,0.66
USR-1231,14.87,48.59,Family,13,0.42,0.78
USR-1232,4.11,28.2,"Comedy,Family",16,0.37,0.61
USR-1233,11.42,41.71,Comedy,21,0.36,0.7
USR-1234,5.52,27.31,"Comedy,Family",21,0.24,0.69
USR-1235,10.06,33.45,"Animation,Comedy",17,0.39,0.77
USR-1236,12.23,36.21,"Family,Animation",10,0.68,0.81
USR-1237,4.8,36.55,Animation,18,0.3,0.62
USR-1238,13.55,37.44,"Family,Animation",11,0.37,0.52
USR-1239,8.76,40.12,"Family,Animation",20,0.54,0.5
USR-1240,14.96,47.47,"Comedy,Family",31,0.23,0.48
USR-1241,9.14,30.26,"Animation,Comedy",16,0.29,0.83
USR-1242,12.36,32.79,"Family,Animation",16,0.22,0.84
USR-1243,8.84,53.91,"Comedy,Animation",16,0.36,0.61
USR-1244,10.83,53.59,Comedy,16,0.4,0.85
USR-1245,13.85,31.46,"Animation,Family",18,0.56,0.51
USR-1246,9.59,29.86,Animation,21,0.47,0.75
USR-1247,7.78,43.4,Family,24,0.47,0.62
USR-1248,7.62,33.39,Comedy,23,0.44,0.44
USR-1249,12.65,47.73,"Family,Animation",8,0.42,0.8
USR-1250,9.92,33.42,Family,20,0.42,0.7
USR-1251,9.04,36.99,Family,26,0.35,0.56
USR-1252,11.91,29.01,Family,19,0.29,0.51
USR-1253,7.29,22.44,Family,17,0.31,0.29
USR-1254,13.15,41.16,"Comedy,Animation",16,0.54,0.59
USR-1255,12.13,44.78,Family,21,0.25,0.69
USR-1256,6.43,39.27,"Animation,Family",17,0.31,0.53
USR-1257,11.1,44.04,Animation,20,0.48,0.68
USR-1258,9.4,30.21,"Family,Comedy",18,0.27,0.62
USR-1259,7.13,40.55,"Comedy,Family",26,0.28,0.54
USR-1260,10.72,45.78,"Comedy,Animation",18,0.4,0.87
USR-1261,13.03,33.46,"Comedy,Animation",18,0.59,0.7
USR-1262,9.74,33.96,"Family,Comedy",10,0.51,0.64
USR-1263,9.96,55.0,"Comedy,Animation",6,0.28,0.63
USR-1264,7.87,32.31,"Family,Animation",15,0.29,0.48
USR-1265,7.07,39.75,"Comedy,Family",28,0.18,0.71
USR-1266,7.14,41.52,Family,16,0.35,0.66
USR-1267,14.57,30.44,"Animation,Comedy",28,0.27,0.65
USR-1268,14.74,35.44,Animation,20,0.29,0.83
USR-1269,7.91,38.54,Animation,26,0.43,0.53
USR-1270,12.29,37.9,"Family,Comedy",19,0.43,0.76
USR-1271,7.17,30.12,"Comedy,Animation",13,0.34,0.78
USR-1272,12.14,34.33,"Family,Comedy",16,0.31,0.74
USR-1273,7.07,50.1,"Family,Comedy",17,0.55,0.66
USR-1274,10.91,38.61,"Comedy,Animation",14,0.46,0.5
USR-1275,9.83,31.84,"Animation,Family",12,0.32,0.73
USR-1276,11.04,38.45,Animation,20,0.45,0.61
USR-1277,12.52,49.3,Comedy,11,0.33,0.51
USR-1278,9.59,45.15,Animation,16,0.35,0.64
USR-1279,12.12,42.19,"Animation,Family",23,0.65,0.74
USR-1280,17.2,30.56,"Family,Comedy",28,0.29,0.66
USR-1281,4.84,33.93,Animation,21,0.29,0.55
USR-1282,10.95,27.61,"Animation,Comedy",11,0.39,0.62
USR-1283,10.71,44.13,Animation,26,0.39,0.57
USR-1284,10.58,32.37,"Family,Comedy",19,0.35,0.52
USR-1285,9.45,33.51,Comedy,26,0.49,0.66
USR-1286,5.69,34.28,Comedy,13,0.29,0.51
USR-1287,11.56,35.86,"Comedy,Animation",17,0.38,0.58
USR-1288,3.88,34.46,"Family,Comedy",7,0.25,0.26
USR-1289,13.39,52.55,Family,16,0.31,0.7
USR-1290,14.52,22.87,"Animation,Family",18,0.33,0.78
USR-1291,10.9,45.31,Animation,17,0.53,0.59
USR-1292,8.54,26.36,"Animation,Family",8,0.5,0.48
USR-1293,13.66,29.15,"Family,Comedy",18,0.33,0.54
USR-1294,11.53,30.17,"Animation,Family",6,0.54,0.98
USR-1295,9.88,42.01,Animation,18,0.45,0.49
USR-1296,14.73,35.31,"Comedy,Animation",18,0.45,0.49
USR-1297,11.13,47.81,Comedy,20,0.51,0.28
USR-1298,15.17,34.7,Family,14,0.16,0.76
USR-1299,13.07,45.01,"Family,Animation",16,0.53,0.66
USR-1300,8.09,37.84,"Comedy,Family",23,0.43,0.69
USR-1301,10.1,41.68,"Comedy,Animation",17,0.36,0.86
USR-1302,19.76,39.14,Animation,12,0.38,0.71
USR-1303,3.45,38.34,Animation,17,0.31,0.82
USR-1304,6.95,24.6,"Family,Comedy",24,0.4,0.71
USR-1305,5.2,25.84,"Animation,Comedy",8,0.36,0.64
USR-1306,11.19,37.68,"Animation,Family",22,0.42,0.53
USR-1307,10.45,38.78,Family,21,0.46,0.38
USR-1308,8.87,30.49,Family,14,0.27,0.76
USR-1309,11.01,44.82,Comedy,15,0.47,0.76
USR-1310,13.07,28.66,"Family,Comedy",11,0.35,0.46
USR-1311,10.41,32.03,"Family,Comedy",19,0.28,0.4
USR-1312,13.93,32.18,"Animation,Comedy",17,0.43,0.6
USR-1313,12.36,33.41,"Family,Comedy",18,0.48,0.68
USR-1314,9.46,22.53,"Family,Comedy",17,0.48,0.54
USR-1315,11.22,19.06,Comedy,20,0.44,0.32
USR-1316,5.36,46.62,Animation,26,0.38,0.63
USR-1317,9.92,43.94,Family,14,0.27,0.78
USR-1318,12.87,36.55,"Family,Comedy",23,0.54,0.57
USR-1319,7.82,31.21,Family,24,0.23,0.68
USR-1320,10.94,31.67,Family,19,0.38,0.54
USR-1321,8.47,34.99,Comedy,8,0.43,0.65
USR-1322,8.05,40.61,"Comedy,Family",22,0.52,0.84
USR-1323,11.78,33.63,Comedy,15,0.32,0.66
USR-1324,9.47,37.2,"Animation,Family",24,0.2,0.83
USR-1325,7.94,38.35,Animation,17,0.53,0.68
USR-1326,14.37,38.98,"Comedy,Family",29,0.27,0.5
USR-1327,7.48,37.17,Comedy,17,0.19,0.55
USR-1328,9.27,32.33,"Animation,Family",18,0.48,0.79
USR-1329,13.15,37.46,"Comedy,Family",13,0.54,0.61
USR-1330,8.17,41.1,"Family,Comedy",15,0.39,0.75
USR-1331,12.31,34.81,Animation,17,0.64,0.89
USR-1332,6.52,39.66,Animation,13,0.32,0.59
USR-1333,11.69,37.1,Family,21,0.54,0.63
USR-1334,9.15,36.0,Animation,21,0.43,0.52
USR-1335,9.64,38.29,Family,16,0.46,0.59
USR-1336,16.81,34.09,Animation,19,0.39,0.58
USR-1337,10.91,33.62,"Family,Comedy",16,0.47,0.57
USR-1338,10.01,36.29,"Animation,Comedy",12,0.27,0.77
USR-1339,11.03,36.58,Animation,21,0.11,0.64
USR-1340,10.55,39.77,"Comedy,Family",17,0.37,0.88
USR-1341,7.9,30.97,"Comedy,Family",21,0.47,0.6
USR-1342,8.78,36.71,"Family,Animation",25,0.61,0.93
USR-1343,12.27,49.94,"Animation,Comedy",21,0.48,0.31
USR-1344,7.69,33.23,Family,17,0.33,1.0
USR-1345,11.02,32.9,"Comedy,Family",18,0.43,0.46
USR-1346,8.65,33.37,"Family,Animation",16,0.26,0.51
USR-1347,10.56,38.64,"Animation,Comedy",12,0.5,0.75
USR-1348,9.79,34.16,Animation,8,0.53,0.82
USR-1349,10.49,41.41,Comedy,9,0.42,0.95
USR-1350,10.52,34.67,"Comedy,Family",16,0.24,0.68
USR-1351,17.37,25.1,"Family,Animation",20,0.44,0.66
USR-1352,11.5,33.03,Animation,9,0.3,0.85
USR-1353,7.99,47.08,"Comedy,Family",14,0.46,0.92
USR-1354,9.93,41.04,Animation,11,0.44,0.81
USR-1355,11.89,39.83,"Family,Comedy",11,0.47,0.78
USR-1356,9.14,32.71,Animation,19,0.51,0.62
USR-1357,10.48,40.31,Animation,11,0.21,0.69
USR-1358,10.95,36.7,"Family,Animation",20,0.18,0.89
USR-1359,8.09,41.22,Family,15,0.48,0.67
USR-1360,12.25,49.84,Family,10,0.29,0.45
USR-1361,9.93,42.45,"Comedy,Animation",18,0.52,0.55
USR-1362,8.12,41.22,"Family,Comedy",9,0.23,0.51
USR-1363,10.17,43.24,Comedy,14,0.55,0.66
USR-1364,14.43,31.77,"Animation,Comedy",17,0.48,0.27
USR-1365,8.31,28.84,Comedy,24,0.5,0.61
USR-1366,13.9,28.56,Animation,12,0.34,0.48
USR-1367,14.88,23.96,Animation,27,0.45,0.72
USR-1368,8.79,39.98,"Family,Comedy",18,0.46,0.63
USR-1369,7.73,38.31,Family,27,0.77,0.74
USR-1370,9.95,39.74,"Animation,Comedy",22,0.37,0.68
USR-1371,9.89,35.52,Animation,11,0.25,0.81
USR-1372,13.31,40.44,Animation,18,0.55,0.2
USR-1373,12.88,34.46,Animation,10,0.36,0.78
USR-1374,12.23,39.5,Animation,18,0.38,0.36
USR-1375,11.76,33.88,Comedy,10,0.52,0.65
USR-1376,14.56,34.56,Comedy,15,0.41,0.55
USR-1377,7.49,28.29,Family,24,0.3,0.55
USR-1378,10.05,31.07,"Animation,Family",22,0.34,0.68
USR-1379,8.99,27.25,Family,23,0.57,0.6
USR-1380,6.52,33.11,Family,19,0.44,0.64
USR-1381,10.6,30.69,Comedy,19,0.4,0.45
USR-1382,11.22,26.57,Animation,19,0.45,1.0
USR-1383,12.73,45.55,"Comedy,Family",18,0.45,0.64
USR-1384,11.06,37.38,"Animation,Comedy",13,0.65,0.77
USR-1385,7.79,46.19,Family,22,0.58,0.48
USR-1386,7.75,43.12,Comedy,19,0.66,0.5
USR-1387,6.17,46.01,Animation,21,0.38,0.76
USR-1388,10.7,41.06,"Comedy,Family",13,0.3,0.63
USR-1389,11.45,37.33,"Animation,Comedy",18,0.56,0.69
USR-1390,5.93,44.54,Animation,23,0.28,0.37
USR-1391,11.88,26.55,"Comedy,Family",20,0.46,0.66
USR-1392,12.73,39.38,Comedy,11,0.35,0.87
USR-1393,12.29,31.9,Family,22,0.37,0.82
USR-1394,12.42,50.99,Comedy,14,0.4,0.84
USR-1395,7.04,36.8,Comedy,25,0.4,0.46
USR-1396,11.78,24.35,Comedy,26,0.34,0.87
USR-1397,6.73,41.69,"Family,Animation",25,0.41,0.77
USR-1398,12.14,45.52,Comedy,16,0.21,0.7
USR-1399,9.69,37.09,"Animation,Family",20,0.37,0.63
USR-1400,11.48,36.6,Animation,6,0.37,0.52
USR-1401,11.03,55.0,"Family,Animation",19,0.43,0.57
USR-1402,4.28,34.51,Animation,17,0.28,0.73
USR-1403,7.39,41.21,Animation,21,0.45,0.87
USR-1404,10.98,38.62,"Family,Animation",8,0.31,0.46
USR-1405,9.85,33.84,Comedy,13,0.34,0.53
USR-1406,7.8,44.39,"Animation,Comedy",14,0.58,0.57
USR-1407,11.64,41.54,"Comedy,Animation",18,0.24,0.8
USR-1408,9.78,39.84,Animation,29,0.36,0.53
USR-1409,11.8,30.36,Animation,21,0.53,0.73
USR-1410,14.5,38.93,Animation,22,0.58,0.8
USR-1411,11.34,48.31,Animation,16,0.44,0.59
USR-1412,8.48,43.31,Family,33,0.39,0.8
USR-1413,9.95,31.11,"Family,Comedy",13,0.32,0.65
USR-1414,8.74,40.0,Animation,14,0.38,0.55
USR-1415,9.62,45.42,"Animation,Family",17,0.33,0.67
USR-1416,9.65,46.82,"Comedy,Animation",22,0.51,0.84
USR-1417,12.45,28.04,Family,14,0.43,0.4
USR-1418,15.96,44.45,"Comedy,Animation",31,0.26,0.66
USR-1419,13.72,46.68,Animation,11,0.56,0.49
USR-1420,9.44,40.47,Comedy,10,0.42,0.82
USR-1421,8.12,43.43,Animation,13,0.32,0.49
USR-1422,8.15,33.41,"Comedy,Family",10,0.45,0.89
USR-1423,7.38,37.68,Family,23,0.47,0.79
USR-1424,7.2,36.69,"Animation,Family",17,0.56,0.67
USR-1425,5.21,33.94,Comedy,17,0.56,0.76
USR-1426,12.95,33.13,Comedy,15,0.44,0.42
USR-1427,10.79,34.16,"Family,Animation",18,0.23,0.58
USR-1428,15.4,31.31,"Animation,Comedy",19,0.32,0.67
USR-1429,13.98,30.32,"Family,Animation",17,0.38,0.39
USR-1430,12.42,37.21,Animation,17,0.44,0.86
USR-1431,13.75,26.81,Comedy,12,0.53,0.66
USR-1432,7.17,23.74,Family,10,0.61,0.58
USR-1433,6.44,32.13,Comedy,10,0.23,0.88
USR-1434,14.55,18.38,"Family,Comedy",11,0.48,0.64
USR-1435,12.46,36.04,Family,12,0.58,0.94
USR-1436,10.51,43.08,"Family,Comedy",24,0.49,0.74
USR-1437,6.49,33.28,"Comedy,Family",22,0.46,0.73
USR-1438,14.49,41.93,"Comedy,Family",20,0.28,1.0
USR-1439,7.19,33.81,Family,14,0.43,0.59
USR-1440,11.25,47.4,Comedy,21,0.42,0.76
USR-1441,12.93,28.45,Comedy,21,0.3,0.78
USR-1442,8.61,37.77,Family,22,0.36,0.52
USR-1443,4.45,27.24,Comedy,20,0.18,0.59
USR-1444,14.6,35.33,"Comedy,Family",11,0.2,0.58
USR-1445,8.66,43.36,"Family,Animation",10,0.24,0.78
USR-1446,15.0,35.47,"Comedy,Family",11,0.23,0.77
USR-1447,7.96,35.83,Animation,25,0.31,0.52
USR-1448,6.35,32.22,"Comedy,Animation",12,0.46,0.71
USR-1449,11.68,22.51,Animation,18,0.36,0.97
USR-1450,9.32,48.9,"Animation,Comedy",20,0.37,0.81
USR-1451,8.92,22.25,Comedy,19,0.25,0.6
USR-1452,18.55,27.37,Animation,21,0.29,0.71
USR-1453,6.63,38.04,"Comedy,Animation",5,0.37,0.68
USR-1454,12.99,46.93,"Family,Animation",28,0.55,0.57
USR-1455,8.35,34.39,Animation,8,0.5,0.67
USR-1456,5.49,53.71,"Animation,Family",21,0.44,0.71
